first_seen,ip,last_seen,name,port_number,priority,remediation_action,remediation_id,status
2022-08-08T13:56:22.762303Z,45.33.49.119,2022-08-08T13:56:22.763557Z,nmap.org,80,MEDIUM,CVE-2013-0942 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2013-0942 for details.,CVE-2013-0942,NEWLY_DISCOVERED
2022-08-08T13:56:22.758652Z,45.33.49.119,2022-08-08T13:56:22.759711Z,nmap.org,80,LOW,CVE-2013-0941 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2013-0941 for details.,CVE-2013-0941,NEWLY_DISCOVERED
2022-08-08T13:56:22.755491Z,45.33.49.119,2022-08-08T13:56:22.756351Z,nmap.org,80,MEDIUM,CVE-2015-3184 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2015-3184 for details.,CVE-2015-3184,NEWLY_DISCOVERED
2022-08-08T13:56:22.752650Z,45.33.49.119,2022-08-08T13:56:22.753450Z,nmap.org,80,MEDIUM,CVE-2012-3526 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2012-3526 for details.,CVE-2012-3526,NEWLY_DISCOVERED
2022-08-08T13:56:22.749606Z,45.33.49.119,2022-08-08T13:56:22.750533Z,nmap.org,80,LOW,CVE-2009-0796 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2009-0796 for details.,CVE-2009-0796,NEWLY_DISCOVERED
2022-08-08T13:56:22.746191Z,45.33.49.119,2022-08-08T13:56:22.747330Z,nmap.org,80,MEDIUM,CVE-2012-4001 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2012-4001 for details.,CVE-2012-4001,NEWLY_DISCOVERED
2022-08-08T13:56:22.742297Z,45.33.49.119,2022-08-08T13:56:22.743377Z,nmap.org,80,MEDIUM,CVE-2012-4360 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2012-4360 for details.,CVE-2012-4360,NEWLY_DISCOVERED
2022-08-08T13:56:22.739101Z,45.33.49.119,2022-08-08T13:56:22.740007Z,nmap.org,80,MEDIUM,CVE-2016-8612 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2016-8612 for details.,CVE-2016-8612,NEWLY_DISCOVERED
2022-08-08T13:56:22.736140Z,45.33.49.119,2022-08-08T13:56:22.737015Z,nmap.org,80,HIGH,CVE-2013-4365 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2013-4365 for details.,CVE-2013-4365,NEWLY_DISCOVERED
2022-08-08T13:56:22.733039Z,45.33.49.119,2022-08-08T13:56:22.733995Z,nmap.org,80,HIGH,CVE-2011-2688 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2011-2688 for details.,CVE-2011-2688,NEWLY_DISCOVERED
2022-08-08T13:56:22.729563Z,45.33.49.119,2022-08-08T13:56:22.730735Z,nmap.org,80,MEDIUM,CVE-2011-1176 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2011-1176 for details.,CVE-2011-1176,NEWLY_DISCOVERED
2022-08-08T13:56:22.725547Z,45.33.49.119,2022-08-08T13:56:22.726688Z,nmap.org,80,MEDIUM,CVE-2009-2299 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2009-2299 for details.,CVE-2009-2299,NEWLY_DISCOVERED
2022-08-08T13:56:22.722406Z,45.33.49.119,2022-08-08T13:56:22.723275Z,nmap.org,80,HIGH,CVE-2007-4723 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2007-4723 for details.,CVE-2007-4723,NEWLY_DISCOVERED
2022-08-08T13:56:22.718633Z,45.33.49.119,2022-08-08T13:56:22.720193Z,nmap.org,80,MEDIUM,CVE-2013-2765 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2013-2765 for details.,CVE-2013-2765,NEWLY_DISCOVERED
2022-08-08T13:56:22.715379Z,45.33.49.119,2022-08-08T13:56:22.716375Z,nmap.org,80,MEDIUM,CVE-2013-4352 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2013-4352 for details.,CVE-2013-4352,NEWLY_DISCOVERED
2022-08-08T13:56:22.711638Z,45.33.49.119,2022-08-08T13:56:22.712890Z,nmap.org,80,MEDIUM,CVE-2013-6438 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2013-6438 for details.,CVE-2013-6438,NEWLY_DISCOVERED
